"country","iso_code","continent","cases","inf_rate","deaths","death_rate","population","pop_density","median_age","pct_over_65","pct_over_70","life_expectancy","gdp_pc","pct_extreme_poverty","pct_diabetes","pct_male_smokers","pct_female_smokers","pct_pop_access_handwash","hospital_beds_per_thousand","response","bci_bci","bci_bcistd","ciri_assn","ciri_dommov","ciri_elecsd","ciri_speech","cspf_sfi","fh_aor","fh_cl","fh_feb","fh_fog","fh_pair","fh_polity2","fh_ppp","fh_pr","fhp_mcei5","fhp_status5","fi_index","gpi_gpi","p_durable","undp_hdi","vdem_polyarchy","voh_gti","wbgi_gee","wbgi_pve","wbgi_rle","wbgi_rqe","wdi_acel","wdi_chexppgdp","wdi_dgovhexp","wdi_dprivhexp","wdi_export","wdi_fdiin","wdi_fdiout","wdi_fertility","wdi_gdpcapgr","wdi_gdppppcur","wdi_gini","wdi_imig","wdi_import","wdi_incsh10h","wdi_inflation","wdi_lifexp","wdi_migration","wdi_ophexp","wdi_pop","wdi_popgr","wdi_popurb","wdi_unempilo","who_halet","who_infmortt","who_let","wdi_smop","epi_h2o"
"Afghanistan","AFG","Asia",195012,200.423432682425,7785,8.00102774922919,40099462,54.422,18.6,2.581,1.337,64.83,1803.987,NA,9.59,NA,NA,37.746,0.5,11.11,63.74239,4.2235799,1,0,1,1,20,4,6,6,3,2,3.5,7,5,16,2,NA,3.648,4,0.511,0.366,9.592,-1.5231148,-2.7298076,-1.8076968,-1.3785874,97.7,9.39572716,0.48597482,78.38278198,NA,0.12132303904438,0.187955529162986,4.321,-4.16819108714095,81268221429.6666,NA,1.17554692684705,NA,NA,2.30237251516844,64.833,-314602,78.38278198,38928341,2.30381209309418,26.026,11.73,53.9,46.5,63.2,NA,28
"Africa","OWID_AFR","",12334448,12676.7194244604,256596,263.716341212744,1392394303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","ALB","Europe",330516,339.687564234327,3584,3.68345323741007,2854710,104.871,38,13.188,8.643,78.57,11803.431,1.1,10.08,51.2,7.1,NA,2.89,11.11,52.931854,2.3636839,2,2,1,1,1,8,3,13,7,9,8.083333,12,3,17,2,7.81,1.821,21,0.795,0.501,0.677,-0.13574316,0.083936319,-0.35829434,0.23713107,100,5.26271439,2.84153938,44.65778732,23.249921309893,7.85669257172221,0.335634013506075,1.597,-2.7508163423052,39211248780.5331,33.2,1.98903641031678,38.080952627464,24.8,1.62088661717004,78.573,-69998,44.58411789,2837743,-0.577942252408581,62.112,11.7,69.1,8.6,78,58.4,54
"Algeria","DZA","Africa",270489,277.994861253854,6879,7.06988694758479,44177969,17.348,29.1,6.211,3.857,76.88,13913.839,0.5,6.73,30.4,0.7,83.741,1.9,45.21,55.245445,2.3738599,0,1,1,0,11,3,5,6,3,7,4.25,4,6,19,3,4.9,2.29,14,0.748,0.277,2.696,-0.52584374,-0.8601653,-0.78031766,-1.2914935,99.5,6.2184267,4.09385347,34.13881683,17.0905671583236,0.807014998571505,0.0483774705454981,2.988,-7.20102237381076,494125149907.235,27.6,0.611072022730303,28.1404837091377,22.9,2.41513094083414,76.88,-50002,32.64655304,43851043,1.83653350440444,73.733,12.83,66.4,20,77.1,37.7,53.200001
"Andorra","AND","Europe",46113,47.3926002055498,155,0.159301130524152,79034,163.755,NA,NA,NA,83.73,NA,NA,7.97,37.8,29,NA,NA,5.56,19.972071,4.2887592,2,2,2,2,NA,11,1,14,11,15,NA,15,1,8,1,NA,NA,NA,0.868,NA,NA,1.8255943,1.6185117,1.6986376,1.3397088,100,6.71033096,4.55864906,32.06521988,NA,NA,NA,1.27,-12.091659649427,NA,NA,59.713649198984,NA,NA,NA,NA,NA,13.58695602,77265,0.154134127179226,87.916,NA,NA,2.8,NA,67.6,NA
"Angola","AGO","Africa",102636,105.484069886948,1917,1.97019527235355,34503774,23.89,16.8,2.405,1.362,61.15,5819.495,NA,3.94,NA,NA,26.664,NA,28.17,70.700119,3.5403471,0,1,1,1,16,6,5,7,2,3,3.25,5,6,21,3,5.5,2.032,21,0.581,0.346,3.429,-1.1817968,-0.520679,-0.96317154,-0.90850168,45.6703147888184,2.54900527,1.06878364,54.74777222,35.2845259757963,-4.58354677886438,0.145271951371702,5.442,-7.07982235374452,214894517507.738,51.3,0.427004679966497,27.3316321959984,39.6,17.0812152138993,61.147,32066,36.79880905,32866268,3.21853035205175,66.825,7.7,54.8,50.2,63.1,NA,12.8
"Anguilla","AIA","North America",3851,3.95786228160329,12,0.0123329907502569,15753,NA,NA,NA,NA,81.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","North America",8974,9.22302158273381,145,0.149023638232271,93220,231.845,32.1,6.933,4.631,77.02,21490.943,NA,13.17,NA,NA,NA,3.8,NA,27.144474,4.3791661,2,2,2,1,NA,10,2,15,8,13,NA,13,2,11,2,NA,NA,NA,0.778,NA,NA,-0.14970702,0.93389332,0.45202017,0.51256591,100,5.23155928,2.90411592,44.39883423,42.3214467022001,8.3916831947962,0.678477778024425,1.987,-16.671099060409,1854990178.4467,NA,30.5855061099131,46.3074968470722,NA,1.43135598182989,77.016,0,29.45855904,97928,0.833667148911523,24.433,NA,67,5.8,76.5,NA,50
"Argentina","ARG","South America",9689861,9958.74717368962,129769,133.369989722508,45276780,16.177,31.9,11.198,7.441,76.67,18933.907,0.6,5.5,27.7,16.2,NA,5,16.21,60.90435,2.482501,2,2,2,1,3,11,2,15,8,13,8.916666,16,2,15,2,5.5,1.97,35,0.845,0.831,1.024,-0.21694173,0.036436759,-0.4693715,-0.56730855,100,9.62454033,5.91017103,38.2901268,16.6137220454622,1.49582091110702,0.322140025392022,2.247,-10.7749774146387,942366939742.537,42.9,4.80529233472193,13.8865054056974,31,NA,76.667,24000,27.7300415,45376763,0.970053991438048,92.111,11.67,67.1,8.2,76.6,43.6,64.699997
"Armenia","ARM","Asia",436727,448.845837615622,8662,8.90236382322713,2790974,102.931,35.7,11.232,7.571,75.09,8787.58,1.8,7.11,52.1,1.5,94.043,4.2,NA,48.400169,2.22733,1,1,1,1,6,8,4,9,6,10,6.75,10,4,20,3,8.03,1.996,20,0.776,0.786,0.53,-0.12423611,-0.57129437,-0.083223134,0.25004786,100,10.02538967,1.23714364,86.4431076,30.7076519248757,1.85826759386502,-0.215720668233613,1.758,-7.77168890475744,39364077035.0845,29.9,6.33589288838696,39.3496358782492,25.1,1.21143577838465,75.087,-24989,84.27638245,2963234,0.185983344838062,63.313,20.21,67.1,10.5,76,53.4,57.200001
"Aruba","ABW","North America",42970,44.1623843782117,228,0.234326824254882,106536,584.8,41.2,13.085,7.452,76.29,35973.781,NA,11.62,NA,NA,NA,NA,25.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia","OWID_ASI","",181236598,186265.77389517,1476212,1517.17574511819,4693235454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","AUS","Oceania",10103268,10383.6258992806,14275,14.6711202466598,25921089,3.202,37.9,15.504,10.129,83.44,44648.71,0.5,5.07,16.5,13,NA,3.84,11.11,16.49774,1.780816,2,2,2,2,2,12,1,15,12,15,10,16,1,7,1,8.2,1.435,117,0.944,0.836,2.148,1.6191634,0.8487522,1.6511884,1.8169037,100,9.28459835,6.41243744,30.93467903,23.9152267660839,2.85682249987177,0.927779818873788,1.657,-1.53208619839118,1349040354247.11,34.4,28.2184096915625,20.0626259797586,27,0.846905537459293,82.9,791229,17.72058296,25687041,1.25869817155796,86.241,6.61,70.9,3.1,83,32.3,87
"Austria","AUT","Europe",4984809,5123.13360739979,20678,21.2517985611511,8922082,106.749,44.4,19.202,13.748,81.54,45436.686,0.7,6.35,30.9,28.4,NA,7.37,35.19,25.814655,1.852119,2,2,2,1,0,12,1,14,10,15,10,15,1,6,1,7.86,1.261,72,0.922,0.842,1.016,1.6550574,0.85191101,1.8104407,1.4013554,100,10.32559872,7.5464735,26.91482925,52.6231770817038,-1.8199783496317,-3.44384160819558,1.46,-6.98097860760734,491315356730.303,30.8,17.465726250517,48.8504493066989,23.9,1.38191063351859,81.7926829268293,324998,18.36519051,8917205,0.419000872876687,58.748,5.77,70.9,2.8,81.6,58.1,94.699997
"Azerbaijan","AZE","Asia",816589,839.248715313464,9838,10.1109969167523,10312992,119.309,32.4,6.018,3.871,73,15847.419,NA,7.11,42.5,0.3,83.241,4.7,44.69,47.398396,2.2210269,0,1,1,1,10,1,6,2,0,5,1.1666666,2,7,22,3,6.44,2.212,23,0.756,0.201,0.296,-0.17023246,-0.72521538,-0.69104338,-0.31477171,100,3.51373243,0.9321152,72.80480957,35.6953123058529,3.12183056112494,1.93694599915507,1.8,-5.1223794858265,146111231603.248,NA,2.70906158396255,36.4676207543054,NA,2.75980947008126,73.005,6002,72.80480957,10110116,0.852605731702236,56.397,6.27,63.6,18.2,71.4,39.2,45.5
"Bahamas","BHS","North America",37101,38.1305241521069,823,0.845837615621788,407906,39.497,34.3,8.996,5.2,73.92,27717.847,NA,13.17,20.4,3.1,NA,2.9,40.74,24.181421,3.3278539,2,2,1,2,NA,12,1,15,10,13,NA,16,1,7,1,7.56,NA,NA,0.814,NA,NA,0.45216271,0.84996402,0.062006649,0.013841171,100,6.24896193,3.13811374,49.25304794,39.2435266739329,1.94859819494911,1.0928137979792,1.743,-17.0786657867687,12762285597.9516,NA,15.2843030882508,36.6762895101187,NA,0.0385210980053727,73.918,4999,27.18660164,393248,0.961253495469737,83.245,14.41,64.4,10.9,73.2,21.8,55
"Bahrain","BHR","Asia",673066,691.743062692703,1516,1.55806783144913,1463265,1935.907,32.4,2.372,1.387,77.29,43290.705,NA,16.52,37.6,5.8,NA,2,11.11,25.643089,1.742317,0,1,0,0,9,1,6,2,2,6,0.41666666,0,7,22,3,7.33,2.151,6,0.852,0.118,2.402,0.42874712,-0.59119129,0.49135804,0.6258294,100,4.13356352,2.43187261,41.16764832,76.8414023649251,2.44773758815233,-0.512220715284069,1.964,-9.15897086061335,73476413919.8985,NA,51.12678500505,65.5179374026193,NA,-2.31770629331374,77.292,239000,30.00357819,1701583,3.61532480809725,89.506,4.09,65.9,5.9,75.8,50.1,56.599998
"Bangladesh","BGD","Asia",2013689,2069.56731757451,29329,30.1428571428571,169356251,1265.036,27.5,5.098,3.262,72.59,3523.984,14.8,8.38,44.7,1,34.808,0.8,34.26,60.71796,2.4748001,1,1,1,1,11,5,5,6,4,9,2.6666665,7,5,16,3,6.05,2.102,0,0.632,0.273,4.909,-0.78787827,-0.91739851,-0.5731802,-0.90191382,92.2,2.3428061,0.3977879,76.50183868,12.1811153367093,0.630626636876131,0.0031230001201847,2.011,1.35405641080773,837063556763.48,32.4,0.883753735396142,18.5825249863126,26.8,5.6910747474621,72.591,-1847503,73.87189484,164689383,1.00277418143487,38.177,5.3,64.3,25.6,74.3,78.3,27.299999
"Barbados","BRB","North America",101696,104.517985611511,553,0.568345323741007,281200,664.463,39.8,14.952,9.473,79.19,16978.068,NA,13.57,14.5,1.9,88.469,5.8,24.07,34.68047,2.4145479,2,2,2,1,NA,12,1,16,10,15,NA,16,1,6,1,6.91,NA,NA,0.814,0.798,NA,0.48931155,1.129196,0.33774883,0.4801968,100,6.56259155,2.93843102,54.03665924,42.0081205605682,4.13457477442887,0.534248416202726,1.623,-17.7057156423552,3901579109.93322,NA,12.1299016589554,41.6835505855251,NA,4.10028964518463,79.19,-397,46.51942825,287371,0.121868007673422,31.191,12.79,67,11.7,76,17.3,51.900002
"Belarus","BLR","Europe",994037,1021.62076053443,7118,7.31551901336074,9578168,46.858,40.3,14.799,9.788,74.79,17167.967,NA,5.18,46.1,10.5,NA,11,5.56,43.218647,3.8154631,0,1,0,0,5,1,6,2,1,5,1.1666666,1,7,25,3,6.88,2.102,22,0.823,0.236,0,-0.7293182,-0.73035491,-0.99591666,-0.64954901,100,5.64426613,3.97420192,29.2992897,61.9005346720542,1.9768777744873,0.127783355781397,1.382,-0.699793741212389,189854158376.212,25.3,11.4040105621143,58.7818184291798,21.3,5.54814357456512,74.2268292682927,43648,24.9543705,9398861,-0.201820684328915,79.483,5.28,66,2.4,74.8,53.2,60.5
"Belgium","BEL","Europe",4497199,4621.9928057554,32575,33.4789311408016,11611420,375.564,41.8,18.571,12.849,81.63,42658.576,0.2,4.29,31.4,25.1,NA,5.64,14.81,22.866764,1.797317,2,2,2,1,2,12,1,15,11,15,9.5,16,1,6,1,7.62,1.485,74,0.931,0.887,3.043,1.1242987,0.59056258,1.3689196,1.3507179,100,10.31865311,7.8199439,24.21545982,80.5786821089466,-5.43186655231303,-4.67749259713305,1.57,-6.82742004273285,600544271110.637,27.2,12.2835331942319,80.1263096581407,22.2,0.740791812220385,81.7463414634146,240000,19.05391693,11555997,0.581620792438621,98.079,6.01,70.6,2.7,81.4,50,93.599998
"Belize","BLZ","North America",68452,70.3514902363823,680,0.698869475847893,400031,16.426,25,3.853,2.279,74.62,7824.362,NA,17.11,NA,NA,90.083,1.3,30.2,58.028111,4.2597809,2,2,2,2,NA,11,1,16,8,13,NA,14,2,6,1,6.7,NA,NA,0.716,NA,NA,-0.64643353,0.51174325,-0.75969923,-0.53782773,92.72,5.69105911,3.90398026,28.90864563,55.0187339159972,4.73691618915791,0.251074535078158,2.274,-15.6101205394999,2567025968.06982,NA,14.990801225761,55.3100937405994,NA,NA,74.623,6000,23.23029137,397621,1.84529559225359,46.025,7.82,65.3,10.6,74.4,NA,42.599998
"Benin","BEN","Africa",27490,28.2528263103803,163,0.167523124357657,12996895,99.11,18.8,3.244,1.942,61.77,2064.236,49.6,0.99,12.3,0.6,11.035,0.5,8.33,62.063457,2.5637431,1,2,2,1,10,9,2,14,7,10,8.416666,9,4,13,2,6.62,2.161,27,0.545,0.439,0.663,-0.26388121,-0.4397532,-0.72787875,-0.37220451,40.3187408447266,2.49141979,0.49050966,50.20180511,19.8724704276524,1.51620780935649,0.188647207295951,4.767,1.09009852710551,42499509203.8746,47.8,2.25554096484421,24.9607629492202,37.6,3.02272119663756,61.771,-10000,44.54978943,12123198,2.69237381344614,48.415,2.54,55.5,59,63.4,14.3,13.4
"Bermuda","BMU","North America",18019,18.51901336074,148,0.152106885919836,64185,1308.82,NA,NA,NA,82.59,50669.315,NA,13,NA,NA,NA,NA,13.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan","BTN","Asia",61233,62.9321685508736,21,0.0215827338129496,777486,21.188,28.6,4.885,2.977,71.78,8708.597,1.5,9.75,NA,NA,79.807,1.7,16.67,30.672663,1.7739511,0,0,1,2,6,5,4,9,9,9,7.166667,12,2,20,2,6.82,1.523,10,0.654,0.537,0,0.37318629,1.0215776,0.59414381,-0.3105174,100,3.0574255,2.43216681,14.39869881,34.0075966646594,0.514172488223367,0,1.954,-7.80126554117317,8879845293.43659,37.4,6.59576939457687,50.3512392601448,27.9,5.62999177986902,71.777,1600,13.16380501,771612,1.11006114109419,42.316,3.74,63.4,23.8,73.1,NA,31.200001
"Bolivia","BOL","South America",1105236,1135.90544707091,22212,22.8283658787256,12079472,10.202,25.4,6.704,4.393,71.51,6885.829,7.1,6.89,NA,NA,25.383,1.1,22.22,64.066338,2.8428769,1,2,2,1,11,9,3,14,7,10,7.583333,10,3,14,2,6.28,2.099,36,0.718,0.324,2.795,-0.56204551,-0.46767458,-1.1516058,-1.0239968,96.3031005859375,6.30102587,4.48434305,26.95981026,24.9672622840166,-0.529735011311977,-0.277480762945422,2.688,-9.08616222670869,97672052580.2701,41.6,1.33326744185504,31.4300444441081,30.8,0.940742153381823,71.513,-47520,23.17128754,11673029,1.37952758307147,70.123,5.61,63.3,21.2,72.1,NA,40
